Temperature (K),Pressure (Mpa),Refrective_Index (n),Dielectric_constant(e),Density1(P_LL),Density2(P_CM),Density3(P_IUPAC),Target
323.15,0.50838,1.00188,1.0037546,0.019047,0.019082,0.019041,CH4
323.15,0.75085,1.00278,1.005564,0.02819,0.028259,0.028207,CH4
323.15,1.2537,1.00468,1.0093597,0.04748,0.047468,0.047391,CH4
323.15,1.5025,1.00563,1.0112599,0.05704,0.057063,0.056977,CH4
323.15,1.7516,1.00659,1.0131751,0.06677,0.06672,0.066627,CH4
323.15,2.0022,1.00757,1.0151193,0.07666,0.076508,0.0764,CH4
323.15,2.5036,1.00953,1.0190525,0.09645,0.096267,0.096135,CH4
323.15,3.0043,1.0115,1.023039,0.11635,0.116234,0.116081,CH4
323.15,3.5063,1.01351,1.027092,0.13665,0.13647,0.136318,CH4
323.15,4.004,1.01554,1.0311646,0.15702,0.15675,0.15662,CH4
323.15,4.5043,1.01758,1.0352915,0.17758,0.17723,0.177255,CH4
323.15,5.005,1.01968,1.0395325,0.19874,0.19821,0.19813,CH4
323.15,5.5054,1.02177,1.0438006,0.2197,0.21926,0.219202,CH4
323.15,6.0053,1.0239,1.0481033,0.24103,0.24042,0.24046,CH4
323.15,6.4987,1.02602,1.0524566,0.26233,0.26175,0.261629,CH4
323.15,7.011,1.02823,1.0569745,0.28439,0.28383,0.283793,CH4
323.15,7.504,1.03035,1.0613717,0.30567,0.30524,0.305278,CH4
323.15,8.0005,1.03255,1.0658372,0.32757,0.32691,0.327075,CH4
323.15,8.5103,1.03482,1.0705141,0.352031,0.34954,0.349577,CH4
323.15,9.0017,1.03699,1.0750451,0.37186,0.37139,0.371374,CH4
323.15,9.5033,1.03924,1.0796819,0.3943,0.39368,0.393732,CH4
323.15,10.009,1.0415,1.084357,0.4168,0.41608,0.416337,CH4
323.15,10.501,1.04372,1.0889291,0.4388,0.43792,0.438385,CH4
323.15,10.998,1.04596,1.0936996,0.4611,0.46063,0.460681,CH4
323.15,11.532,1.04837,1.0987864,0.485,0.48476,0.48466,CH4
323.15,11.999,1.05048,1.1031443,0.5059,0.50536,0.505638,CH4
323.15,12.5,1.05276,1.107942,0.5285,0.52798,0.528095,CH4
323.15,13.002,1.055,1.1127509,0.5507,0.55058,0.55057,CH4
323.15,13.505,1.05727,1.1105018,0.573,0.57283,0.573033,CH4
323.15,14.001,1.05952,1.122235,0.5953,0.59492,0.595061,CH4
323.15,14.5,1.06176,1.1270355,0.6174,0.61726,0.617093,CH4
323.15,15.01,1.06401,1.1318622,0.6396,0.63965,0.639509,CH4
323.15,15.505,1.0662,1.1365206,0.6611,0.66119,0.661157,CH4
323.15,16.001,1.06837,1.1412388,0.6825,0.68294,0.682594,CH4
323.15,16.506,1.07058,1.1460516,0.7042,0.70506,0.704275,CH4
323.15,17.01,1.07276,1.1506314,0.7256,0.72605,0.725689,CH4
323.15,17.505,1.07488,1.1552047,0.7464,0.7469,0.746547,CH4
323.15,18.009,1.07703,1.1598453,0.7675,0.7681,0.76746,CH4
323.15,18.506,1.07909,1.1643017,0.7877,0.7883,0.757598,CH4
323.15,19.003,1.08117,1.168803,0.808,0.8087,0.808016,CH4
